nome_curso,area_geral_codigo,area_geral_nome,rotulo_codigo,rotulo_nome,origem
Administração,04,"Negócios, administração e direito",0413A01,Administração,DCN
Administração pública,04,"Negócios, administração e direito",0413A02,Administração pública,DCN
Agronomia/Engenharia Agronômica,08,"Agricultura, silvicultura, pesca e veterinária",0811A04,Agronomia,DCN
Arquitetura e urbanismo,07,"Engenharia, produção e construção",0731A02,Arquitetura e urbanismo,DCN
Arquivologia,03,"Ciências sociais, comunicação e informação",0322A01,Arquivologia,DCN
Artes visuais,01,Educação,0114A02,Artes visuais formação de professor,DCN
Artes visuais,02,Artes e humanidades,0213A03,Artes visuais,DCN
Biblioteconomia,03,"Ciências sociais, comunicação e informação",0322B01,Biblioteconomia,DCN
Biomedicina,09,Saúde e bem-estar,0914B01,Biomedicina,DCN
Ciência da computação,06,Computação e Tecnologias da Informação e Comunicação (TIC),0613C01,Ciência da computação,DCN
Ciência Política,03,"Ciências sociais, comunicação e informação",0312C01,Ciência Política,DCN
Ciências aeronáuticas,10,Serviços,1041C01,Ciências aeronáuticas,DCN
Ciências biológicas,01,Educação,0114B01,Biologia formação de professor,DCN
Ciências biológicas,05,"Ciências naturais, matemática e estatística",0511B01,Biologia,DCN
Ciências contábeis,04,"Negócios, administração e direito",0411C01,Contabilidade,DCN
Ciências da religião,02,Artes e humanidades,0221C01,Ciências da religião,DCN
Ciências econômicas,03,"Ciências sociais, comunicação e informação",0311E01,Economia,DCN
"Ciências sociais – Antropologia, Ciência Política e Sociologia",01,Educação,0114C03,Ciências sociais formação de professor,DCN
"Ciências sociais – Antropologia, Ciência Política e Sociologia",03,"Ciências sociais, comunicação e informação",0312C02,Ciências sociais,DCN
Cinema e audiovisual,01,Educação,0114C04,Cinema e audiovisual formação de professor,DCN
Cinema e audiovisual,02,Artes e humanidades,0211C01,Cinema e audiovisual,DCN
Computação,01,Educação,0114C05,Computação formação de professor,DCN
Comunicação social,03,"Ciências sociais, comunicação e informação",0321C01,Comunicação social,DCN
Dança,01,Educação,0114D01,Dança formação de professor,DCN
Dança,02,Artes e humanidades,0215D01,Dança,DCN
Design,02,Artes e humanidades,0212D02,Design,DCN
Direito,04,"Negócios, administração e direito",0421D01,Direito,DCN
Economia doméstica,01,Educação,0114E01,Economia doméstica formação de professor,DCN
Economia doméstica,10,Serviços,1011E01,Economia doméstica,DCN
Educação física,01,Educação,0114E03,Educação física formação de professor,DCN
Educação física,09,Saúde e bem-estar,0915E01,Educação física,DCN
Educação indígena,01,Educação,0113E03,Educação indígena formação de professor,DCN
Educação indígena,01,Educação,0114E04,Educação indígena em áreas de conhecimento da educação básica formação de professor,DCN
Enfermagem,01,Educação,0114E05,Enfermagem formação de professor,DCN
Enfermagem,09,Saúde e bem-estar,0913E01,Enfermagem,DCN
Engenharia acústica,07,"Engenharia, produção e construção",0714E02,Engenharia acústica,DCN
Engenharia aeroespacial,07,"Engenharia, produção e construção",0716E01,Engenharia aeroespacial,DCN
Engenharia aeronáutica,07,"Engenharia, produção e construção",0716E02,Engenharia aeronáutica,DCN
Engenharia agrícola,08,"Agricultura, silvicultura, pesca e veterinária",0811E01,Engenharia agrícola,DCN
Engenharia agronômica,08,"Agricultura, silvicultura, pesca e veterinária",0811A04,Agronomia,DCN
Engenharia ambiental,07,"Engenharia, produção e construção",0712E02,Engenharia ambiental e sanitária,DCN
Engenharia ambiental e sanitária,07,"Engenharia, produção e construção",0712E02,Engenharia ambiental e sanitária,DCN
Engenharia automotiva,07,"Engenharia, produção e construção",0716E03,Engenharia automotiva,DCN
Engenharia bioenergética,07,"Engenharia, produção e construção",0713E03,Engenharia bioenergética,DCN
Engenharia biomédica,07,"Engenharia, produção e construção",0714E03,Engenharia biomédica,DCN
Engenharia bioquímica,07,"Engenharia, produção e construção",0711E01,Engenharia bioquímica,DCN
Engenharia cartográfica,07,"Engenharia, produção e construção",0731E01,Engenharia cartográfica,DCN
Engenharia civil,07,"Engenharia, produção e construção",0732E01,Engenharia civil,DCN
Engenharia de agrimensura,07,"Engenharia, produção e construção",0731E02,Engenharia de agrimensura,DCN
Engenharia de agrimensura e cartográfica,07,"Engenharia, produção e construção",0731E03,Engenharia de agrimensura e cartográfica,DCN
Engenharia de alimentos,07,"Engenharia, produção e construção",0721E01,Engenharia de alimentos,DCN
Engenharia de bioprocessos,07,"Engenharia, produção e construção",0711E02,Engenharia de bioprocessos,DCN
Engenharia de biossistemas,08,"Agricultura, silvicultura, pesca e veterinária",0811E02,Engenharia de biossistemas,DCN
Engenharia de biotecnologia,07,"Engenharia, produção e construção",0711E03,Engenharia de biotecnologia,DCN
Engenharia de computação,07,"Engenharia, produção e construção",0714E04,Engenharia de computação,DCN
Engenharia de controle e automação,07,"Engenharia, produção e construção",0714E05,Engenharia de controle e automação,DCN
Engenharia de energia,07,"Engenharia, produção e construção",0713E04,Engenharia de energia,DCN
Engenharia de informação,07,"Engenharia, produção e construção",0714E06,Engenharia de informação,DCN
Engenharia de manufatura,07,"Engenharia, produção e construção",0725E01,Engenharia de manufatura,DCN
Engenharia de materiais,07,"Engenharia, produção e construção",0722E01,Engenharia de materiais,DCN
Engenharia de minas,07,"Engenharia, produção e construção",0724E01,Engenharia de minas,DCN
Engenharia de nanotecnologia,07,"Engenharia, produção e construção",0711E04,Engenharia de nanotecnologia,DCN
Engenharia de pesca,08,"Agricultura, silvicultura, pesca e veterinária",0831E01,Engenharia de pesca,DCN
Engenharia de petróleo,07,"Engenharia, produção e construção",0724E02,Engenharia de petróleo,DCN
Engenharia de produção,07,"Engenharia, produção e construção",0725E02,Engenharia de produção,DCN
Engenharia de recursos hídricos,07,"Engenharia, produção e construção",0732E02,Engenharia de recursos hídricos,DCN
Engenharia de software,06,Computação e Tecnologias da Informação e Comunicação (TIC),0613E01,Engenharia de software,DCN
Engenharia de telecomunicações,07,"Engenharia, produção e construção",0714E07,Engenharia de telecomunicações,DCN
Engenharia de transportes,07,"Engenharia, produção e construção",0732E03,Engenharia de transportes,DCN
Engenharia elétrica,07,"Engenharia, produção e construção",0713E05,Engenharia elétrica,DCN
Engenharia eletrônica,07,"Engenharia, produção e construção",0714E08,Engenharia eletrônica,DCN
Engenharia ferroviária e metroviária,07,"Engenharia, produção e construção",0716E04,Engenharia ferroviária e metroviária,DCN
Engenharia física,07,"Engenharia, produção e construção",0715E01,Engenharia física,DCN
Engenharia florestal,08,"Agricultura, silvicultura, pesca e veterinária",0821E01,Engenharia florestal,DCN
Engenharia geológica,05,"Ciências naturais, matemática e estatística",0532G02,Geologia,DCN
Engenharia industrial,07,"Engenharia, produção e construção",0725E03,Engenharia industrial,DCN
Engenharia mecânica,07,"Engenharia, produção e construção",0715E02,Engenharia mecânica,DCN
Engenharia mecatrônica,07,"Engenharia, produção e construção",0714E09,Engenharia mecatrônica,DCN
Engenharia metalúrgica,07,"Engenharia, produção e construção",0715E03,Engenharia metalúrgica,DCN
Engenharia naval,07,"Engenharia, produção e construção",0716E05,Engenharia naval,DCN
Engenharia nuclear,07,"Engenharia, produção e construção",0713E06,Engenharia nuclear,DCN
Engenharia portuária,07,"Engenharia, produção e construção",0732E04,Engenharia portuária,DCN
Engenharia química,07,"Engenharia, produção e construção",0711E05,Engenharia química,DCN
Engenharia sanitária,07,"Engenharia, produção e construção",0712E02,Engenharia ambiental e sanitária,DCN
Engenharia têxtil,07,"Engenharia, produção e construção",0723E01,Engenharia têxtil,DCN
Estatística,05,"Ciências naturais, matemática e estatística",0542E01,Estatística,DCN
Farmácia,09,Saúde e bem-estar,0916F01,Farmácia,DCN
Filosofia,01,Educação,0114F01,Filosofia formação de professor,DCN
Filosofia,02,Artes e humanidades,0223F01,Filosofia,DCN
Física,01,Educação,0114F02,Física formação de professor,DCN
Física,05,"Ciências naturais, matemática e estatística",0533F01,Física,DCN
Física,05,"Ciências naturais, matemática e estatística",0533F02,Física aplicada,DCN
Fisioterapia,09,Saúde e bem-estar,0915F01,Fisioterapia,DCN
Fonoaudiologia,09,Saúde e bem-estar,0915F02,Fonoaudiologia,DCN
Formação de docentes para a educação básica,01,Educação,0113F01,Formação pedagógica de professor para a educação básica,DCN
Geografia,01,Educação,0114G01,Geografia formação de professor,DCN
Geografia,03,"Ciências sociais, comunicação e informação",0312G01,Geografia,DCN
Geologia,05,"Ciências naturais, matemática e estatística",0532G02,Geologia,DCN
História,01,Educação,0114H01,História formação de professor,DCN
História,02,Artes e humanidades,0222H01,História,DCN
Hotelaria,10,Serviços,1015H01,Hotelaria,DCN
Jornalismo,03,"Ciências sociais, comunicação e informação",0321J01,Jornalismo,DCN
Letras,01,Educação,0115L02,Letras espanhol formação de professor,DCN
Letras,01,Educação,0115L03,Letras francês formação de professor,DCN
Letras,01,Educação,0115L04,Letras inglês formação de professor,DCN
Letras,01,Educação,0115L05,Letras italiano formação de professor,DCN
Letras,01,Educação,0115L06,Letras japonês formação de professor,DCN
Letras,01,Educação,0115L07,Letras língua brasileira de sinais formação de professor,DCN
Letras,01,Educação,0115L08,Letras línguas estrangeiras clássicas formação de professor,DCN
Letras,01,Educação,0115L09,Letras linguística formação de professor,DCN
Letras,01,Educação,0115L10,Letras outras línguas estrangeiras modernas formação de professor,DCN
Letras,01,Educação,0115L11,Letras português alemão formação de professor,DCN
Letras,01,Educação,0115L12,Letras português espanhol formação de professor,DCN
Letras,01,Educação,0115L13,Letras português formação de professor,DCN
Letras,01,Educação,0115L14,Letras português francês formação de professor,DCN
Letras,01,Educação,0115L15,Letras português inglês formação de professor,DCN
Letras,01,Educação,0115L16,Letras português italiano formação de professor,DCN
Letras,01,Educação,0115L17,Letras português japonês formação de professor,DCN
Letras,01,Educação,0115L18,Letras português língua brasileira de sinais formação de professor,DCN
Letras,01,Educação,0115L19,Letras português línguas estrangeiras clássicas formação de professor,DCN
Letras,01,Educação,0115L20,Letras português outras línguas estrangeiras modernas formação de professor,DCN
Letras,01,Educação,0115L21,Letras tradutor e intérprete formação de professor,DCN
Letras,01,Educação,0231L01,Letras alemão,DCN
Letras,01,Educação,0231L02,Letras escrita criativa,DCN
Letras,01,Educação,0231L03,Letras espanhol,DCN
Letras,01,Educação,0231L04,Letras francês,DCN
Letras,01,Educação,0231L05,Letras inglês,DCN
Letras,01,Educação,0231L06,Letras italiano,DCN
Letras,01,Educação,0231L07,Letras japonês,DCN
Letras,01,Educação,0231L08,Letras língua brasileira de sinais,DCN
Letras,01,Educação,0231L09,Letras línguas estrangeiras clássicas,DCN
Letras,01,Educação,0231L10,Letras linguística,DCN
Letras,01,Educação,0231L11,Letras outras línguas estrangeiras modernas,DCN
Letras,01,Educação,0231L12,Letras português,DCN
Letras,01,Educação,0231L13,Letras português alemão,DCN
Letras,01,Educação,0231L14,Letras português espanhol,DCN
Letras,02,Artes e humanidades,0231L15,Letras português francês,DCN
Letras,02,Artes e humanidades,0231L16,Letras português inglês,DCN
Letras,02,Artes e humanidades,0231L17,Letras português italiano,DCN
Letras,02,Artes e humanidades,0231L18,Letras português japonês,DCN
Letras,02,Artes e humanidades,0231L19,Letras português língua brasileira de sinais,DCN
Letras,02,Artes e humanidades,0231L20,Letras português línguas estrangeiras clássicas,DCN
Letras,02,Artes e humanidades,0231L21,Letras português outras línguas estrangeiras modernas,DCN
Letras,02,Artes e humanidades,0231L22,Letras tradutor e intérprete,DCN
Matemática,01,Educação,0114M01,Matemática formação de professor,DCN
Matemática,05,"Ciências naturais, matemática e estatística",0541M01,Matemática,DCN
Medicina,09,Saúde e bem-estar,0912M01,Medicina,DCN
Medicina veterinária,08,"Agricultura, silvicultura, pesca e veterinária",0841M01,Medicina veterinária,DCN
